mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
53410.06133,-10.92142,0.01070,-10.29740,0.01070,-10.33240,0.01070,-10.14411,0.01070,Euler
53410.55700,-10.92266,0.01250,-10.35366,0.01660,-10.34266,0.01660,-10.15066,0.01820,SMARTS
53411.07720,-10.92275,0.00748,-10.32573,0.00748,-10.35669,0.00748,-10.13302,0.00748,Euler
53411.56000,-10.92466,0.01140,-10.33266,0.01670,-10.30466,0.01670,-10.15266,0.01790,SMARTS
53413.55900,-10.92366,0.01100,-10.31166,0.01800,-10.30066,0.01700,-10.19866,0.01800,SMARTS
53414.54800,-10.91466,0.01300,-10.30166,0.02100,-10.34666,0.01800,-10.21766,0.02000,SMARTS
53415.54600,-10.92166,0.01000,-10.32066,0.01400,-10.30966,0.01300,-10.20066,0.01500,SMARTS
53420.56600,-10.91666,0.01310,-10.32566,0.02020,-10.34766,0.01920,-10.14966,0.02220,SMARTS
53422.59000,-10.94066,0.02160,-10.33866,0.03260,-10.33866,0.03190,-10.12766,0.03720,SMARTS
53426.54500,-10.92366,0.02370,-10.27966,0.03840,-10.27166,0.03610,-10.19166,0.03910,SMARTS
53427.54800,-10.90766,0.01490,-10.33966,0.02400,-10.32966,0.02310,-10.14066,0.02620,SMARTS
53429.08695,-10.93429,0.00953,-10.32129,0.00953,-10.34554,0.00953,-10.14221,0.00953,Euler
53431.10828,-10.94018,0.01308,-10.31838,0.01308,-10.35660,0.01308,-10.14499,0.01308,Euler
53432.53500,-10.93266,0.01000,-10.28766,0.01600,-10.28766,0.01500,-10.17266,0.01600,SMARTS
53433.05400,-10.94093,0.00757,-10.29912,0.00757,-10.33643,0.00757,-10.13691,0.00757,Euler
53433.53800,-10.93766,0.01100,-10.32666,0.01700,-10.30966,0.01600,-10.21066,0.01700,SMARTS
53435.53500,-10.94866,0.01100,-10.32966,0.01700,-10.32066,0.01600,-10.18466,0.01800,SMARTS
53436.05750,-10.94538,0.00657,-10.29913,0.00657,-10.34868,0.00657,-10.15780,0.00657,Euler
53441.91661,-10.95697,0.00998,-10.32946,0.00998,-10.31288,0.00998,-10.13500,0.00998,Mercator
53442.03591,-10.96567,0.02198,-10.28820,0.02198,-10.34404,0.02198,-10.17394,0.02198,Euler
53444.51200,-10.97166,0.01310,-10.27666,0.02210,-10.33966,0.02010,-10.19966,0.02220,SMARTS
53446.49200,-11.04666,0.04070,-10.28666,0.06550,-10.23866,0.06540,-10.19266,0.06780,SMARTS
53448.50300,-10.99066,0.01100,-10.31666,0.01900,-10.36266,0.01700,-10.19066,0.02000,SMARTS
53450.04936,-10.96746,0.04642,-10.31808,0.04642,-10.36928,0.04642,-10.16438,0.04642,Euler
53453.50600,-10.98666,0.02340,-10.36866,0.03560,-10.33266,0.03530,-10.18566,0.03880,SMARTS
53458.01006,-10.99533,0.01055,-10.33370,0.01055,-10.35675,0.01055,-10.21577,0.01055,Euler
53460.48000,-11.04766,0.04480,-10.32166,0.07270,-10.28466,0.06970,-10.18866,0.07520,SMARTS
53464.48300,-11.04566,0.02240,-10.35466,0.03870,-10.28166,0.03680,-10.22166,0.03890,SMARTS
53469.47900,-11.04166,0.01980,-10.27066,0.03450,-10.27466,0.03120,-10.26966,0.03140,SMARTS
